% 1. Title: Job List - Warehouse
%
@RELATION job

@ATTRIBUTE dd {0, 1}
@ATTRIBUTE de {0, 1}
@ATTRIBUTE hi {0, 1}
@ATTRIBUTE df {0, 1}
@ATTRIBUTE hj {0, 1}
@ATTRIBUTE be {0, 1}
@ATTRIBUTE bf {0, 1}
@ATTRIBUTE bg {0, 1}
@ATTRIBUTE bh {0, 1}
@ATTRIBUTE ca {0, 1}
@ATTRIBUTE ge {0, 1}
@ATTRIBUTE cb {0, 1}
@ATTRIBUTE gf {0, 1}
@ATTRIBUTE aa {0, 1}
@ATTRIBUTE gg {0, 1}
@ATTRIBUTE ab {0, 1}
@ATTRIBUTE gh {0, 1}
@ATTRIBUTE ac {0, 1}
@ATTRIBUTE eg {0, 1}
@ATTRIBUTE ad {0, 1}
@ATTRIBUTE eh {0, 1}
@ATTRIBUTE ei {0, 1}
@ATTRIBUTE ej {0, 1}
@ATTRIBUTE ci {0, 1}
@ATTRIBUTE cj {0, 1}
@ATTRIBUTE fa {0, 1}
@ATTRIBUTE fb {0, 1}
@ATTRIBUTE fc {0, 1}
@ATTRIBUTE fd {0, 1}
@ATTRIBUTE dc {0, 1}
@ATTRIBUTE weight NUMERIC
@ATTRIBUTE reward NUMERIC
@ATTRIBUTE cancelled {0, 1}

@DATA
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,21.75,105.36001,?
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,16.47,32.41,?
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,42.53,122.15,?
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,42.079998,130.64,?
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,41.260002,131.28,?
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,28.14,?
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35.27,73.94,?
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23.98,62.91,?
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,28.769999,133.23001,?
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.85,27.380001,?
